ID,Name,PSM,NearestRoad,LandAppraisal,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,GroupDistrict,TotalUnits,BuiltYear,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
796,Baxtor Paholyothin 14,107399.67,Asoke Din Daeng Road,375000,4.69,4.74,15.3,1.73,3.48,Sam Sen Nai,Phaya Thai,Central Bangkok,58,2015,9,0,0,0,0,0,1,0,0
797,SILK Phaholyothin 9,106724.00,Bangkok Nonthaburi Road,240000,4.68,4.05,15.57,2.48,3.36,Sam Sen Nai,Phaya Thai,Central Bangkok,109,2014,10,1,1,1,0,1,1,0,0
798,The Address Sukhumvit 42,106502.20,Ekkamai Road,255000,1.13,3.88,18.03,2.34,3.52,Phra Khanong,Khlong Toei,South Bangkok,449,2009,15,0,1,1,0,1,1,0,0
799,Rhythm Sukhumvit 36-38,176506.85,Ekkamai Road,255000,4.41,2.81,19.06,1.28,3.05,Phra Khanong,Khlong Toei,South Bangkok,496,2016,8,1,1,1,0,0,1,1,0
800,Rhythm Sukhumvit 50,133847.75,Pridi Banomyong Road,240000,3.01,0.8,16.39,4.23,4,Phra Khanong,Khlong Toei,South Bangkok,589,2013,11,0,1,1,0,1,1,0,0
801,Quintara Treehaus Sukhumvit 42,137309.00,Ekkamai Road,255000,1.26,4.01,17.95,2.47,3.66,Phra Khanong,Khlong Toei,South Bangkok,304,2020,4,0,1,1,1,1,1,0,0
802,The Niche Mono Sukhumvit 50,103699.67,Ekkamai Road,255000,2.67,0.2,17.12,3.84,3.78,Phra Khanong,Khlong Toei,South Bangkok,434,2018,6,0,1,0,0,0,1,0,0
803,The Base Sukhumvit 50,107145.25,Ekkamai Road,255000,2.61,0.12,17.14,3.78,3.71,Phra Khanong,Khlong Toei,South Bangkok,415,2019,5,1,1,0,0,1,1,0,0
804,Tree Condo Ekamai,104104.67,Ekkamai Road,255000,1.03,3.72,18.3,2.2,3.61,Phra Khanong,Khlong Toei,South Bangkok,119,2014,10,1,1,1,0,0,1,0,0
805,The Esse Sukhumvit 36,333339.67,Ekkamai Road,255000,4.34,2.7,19.03,1.17,2.78,Phra Khanong,Khlong Toei,South Bangkok,338,2020,4,1,1,1,0,0,0,0,0
806,Rhythm Sukhumvit 42,180642.54,Ekkamai Road,255000,1.04,3.79,18.08,2.26,3.44,Phra Khanong,Khlong Toei,South Bangkok,407,2015,9,1,1,1,0,1,1,0,0
807,The Link Sukhumvit 50,80479.00,Pridi Banomyong Road,240000,2.89,0.65,16.54,4.11,3.9,Phra Khanong,Khlong Toei,South Bangkok,199,2008,16,0,1,1,0,1,1,0,0
808,Noble Reveal,156159.00,Ekkamai Road,255000,0.74,3.48,18.22,1.96,2.97,Phra Khanong Nuea,Watthana,South Bangkok,273,2011,13,0,1,1,0,1,1,0,0
809,Vista Garden,77421.50,Pridi Banomyong Road,240000,0.7,3.79,17.06,1.3,1.49,Phra Khanong Nuea,Watthana,South Bangkok,160,2007,17,0,1,1,0,0,0,0,0
810,HIVE Sukhumvit 65,103017.80,Ekkamai Road,255000,1.13,3.86,17.84,2.35,3.15,Phra Khanong Nuea,Watthana,South Bangkok,124,2010,14,0,1,1,0,1,1,0,0
811,PP Plus Sukhumvit 71,67828.67,Pridi Banomyong Road,240000,2.46,1.88,16.5,3.62,3.63,Phra Khanong Nuea,Watthana,South Bangkok,72,2014,10,0,1,1,0,1,1,0,0
812,Tree Condo Sukhumvit 42,84216.75,Ekkamai Road,255000,1.44,4.19,17.77,2.65,3.75,Phra Khanong Nuea,Watthana,South Bangkok,73,2009,15,0,1,1,0,1,1,0,0
813,Chambers On-Nut Station,133263.50,Pridi Banomyong Road,240000,3.44,1.23,15.95,4.67,4.39,Phra Khanong Tai,Phra Khanong,South Bangkok,487,2019,5,0,1,1,1,0,1,0,0
814,The President Sukhumvit 81,117189.67,Pridi Banomyong Road,240000,3.31,1.05,16.13,4.53,4.29,Phra Khanong Nuea,Watthana,South Bangkok,358,2012,12,1,1,1,0,1,1,0,0
815,The Escape Condominium,46782.33,Udom Suk Road (Sukhumvit 103),185000,2.79,3.06,12.49,0.21,2.19,Bang Chak,Phra Khanong,South Bangkok,794,2009,15,0,0,0,0,0,1,0,0
